Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date ,  Field 1 Label,  Field 1 Entry,  Field 2 Label,  Field 2 Entry, Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A01, 1-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2414, 103926.596365016, 11833.6873804131, 12444.3066145477, 29.8300203014015, 10143.5235797468, 10549.085615648, 31.9357992058347, 112.578003068411, 113.256485755438, 62.9064905398802,
 A01, 1-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2421, 105077.910542744, 12039.0476205961, 12649.4395877477, 28.621537916811, 10480.2575119521, 10903.8057483786, 30.6136403560289, 114.868002357201, 115.048104809195, 62.856344318112,
 A01, 1-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2416, 105669.998885798, 11994.7566234464, 12540.7176946152, 29.1892200981694, 10449.0600926165, 10825.0647770345, 31.4363692105386, 115.168688635195, 115.652539713047, 62.2871019260741,
 A02, 1-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2400, 86771.0289740949, 11592.648504883, 12252.7202297895, 31.0391507778774, 10088.8590660287, 10672.1081438381, 33.0057857568543, 110.422113293609, 112.35913743612, 64.8202642441508,
 A02, 1-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2427, 90564.1976883691, 11587.3309300339, 12114.4829223182, 29.637046151184, 10154.7945679372, 10609.4982891887, 32.1140659813316, 111.203509482173, 113.256485755438, 62.747120950922,
 A02, 1-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2405, 87328.7410440582, 11761.2887555761, 12216.3973344006, 28.6377040635732, 10401.7208657001, 10786.7071785344, 32.5617901334855, 112.501956976469, 114.758254934341, 59.015050875338,
 A03, 2-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2359, 123616.993126158, 11175.6918851163, 11735.2369566456, 30.2612829763831, 9841.42245710843, 10260.8932453421, 32.8775818117643, 107.905527487223, 110.490380842479, 65.5861560016189,
 A03, 2-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2343, 93624.7869582137, 10901.3671877732, 11513.5360461591, 31.1436887500331, 9476.26458183221, 9957.38050858482, 32.7870991012317, 101.857380702921, 104.662103108381, 70.0097085491508,
 A03, 2-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2376, 134535.596510036, 11201.3538943254, 11728.139579563, 30.1535119522373, 10000.9762738357, 10252.8411940513, 33.3020622728366, 110.284757079366, 110.465696239498, 66.5481246428241,
 A04, 2-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2411, 129194.377405824, 10987.3328271837, 11531.0070347848, 30.0194925122303, 9671.3574285312, 10001.2407696586, 33.405182092058, 109.029028622794, 112.127818591689, 63.494622208748,
 A04, 2-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2356, 96227.5387366137, 10761.3852246637, 11364.1320135211, 30.2886013671271, 9397.06998153923, 9799.08278510808, 32.5680876614607, 102.240588658337, 105.072230405576, 58.9016432170419,
 A04, 2-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2389, 132961.176876898, 11140.235741724, 11705.2023364387, 29.551798776436, 9881.82905023454, 10202.6000243355, 32.8259756414629, 112.63175510729, 114.992601439919, 68.0095449914827,
 A05, 3-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2422, 92332.6956498978, 12200.7364612158, 12650.4534928996, 27.7863940833167, 10753.8317479991, 11142.3073990655, 31.0230272754909, 109.809766962957, 108.822058792976, 121.049287648189,
 A05, 3-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2408, 90218.6241685244, 12076.9284191061, 12533.2845395744, 28.1669179724863, 10738.2340028899, 11245.0156433349, 31.5794892800219, 106.721081845915, 107.227774645083, 98.0636567668159,
