Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A01, Blank-Rep 001, 09.18.2022, 100, 1, 21.3091599055553, 5071.56250965517, 5071.56250965517, 0, 25.2928270598181, 25.2928270598181, 0, 1.99209519599478, 1.99209519599478, 0,
 A01, Blank-Rep 002, 09.18.2022, 100, 7, 149.102049324861, 9840.58019212239, 9143.03382183048, 23.8130059392304, 7405.32397677179, 7074.76686979372, 34.5599564471036, 38.6973651634701, 52.7134214262147, 65.6723159340656,
 A01, Blank-Rep 003, 09.18.2022, 100, 2, 42.5739234892868, 15510.8359411362, 19186.6028051127, 29.6312017531372, 14722.6960661891, 20714.9183591703, 46.4969970837055, 112.461238013684, 122.479924218578, 12.0394756278556,
 A02, Blank-Rep 001, 09.18.2022, 100, 1, 21.3031135703683, 15082.4882536896, 15082.4882536896, 0, 12748.1817338001, 12748.1817338001, 0, 96.1417325934814, 96.1417325934814, 0,
 A02, Blank-Rep 002, 09.18.2022, 100, 5, 106.465138736518, 13345.0570450152, 12864.7886732467, 13.6924680933711, 11972.177871302, 11940.3699861737, 15.363772877923, 125.826832469906, 128.937279851294, 40.7481066172865,
 A02, Blank-Rep 003, 09.18.2022, 100, 1, 21.2766069066795, 19057.7548190311, 19057.7548190311, 0, 17384.7739611752, 17384.7739611752, 0, 74.2656689598571, 74.2656689598571, 0,
 A03, 97-Rep 001, 09.18.2022, 100, 2320, 66352.1628417854, 11758.0946789392, 12408.5601358204, 33.6959398929274, 10945.52220535, 11698.6754312158, 41.4830553806101, 101.335606364686, 108.344048391445, 77.0942855639336,
 A03, 97-Rep 002, 09.18.2022, 100, 2350, 69558.1325341855, 11739.5265362045, 12250.4872396353, 31.9443206252129, 11099.0531146235, 11587.1154505751, 39.6983919248809, 100.098031682482, 105.494678435657, 62.5670755576813,
 A03, 97-Rep 003, 09.18.2022, 100, 2366, 69704.5375783474, 11699.711141225, 12192.3980895026, 32.831845482017, 11131.7784967542, 11757.0841168157, 39.1588847695042, 102.356351087792, 108.442768361003, 62.4165996190756,
 A04, 97-Rep 001, 09.18.2022, 100, 2388, 59910.8898639103, 11475.9192364771, 12231.8858537353, 33.2713515939276, 10928.2641585027, 11592.9309400738, 39.6911228794314, 99.8226908078119, 106.281060487405, 64.3186492831706,
 A04, 97-Rep 002, 09.18.2022, 100, 2404, 66004.5096417362, 11771.3977123468, 12360.2345053242, 32.8426451201123, 11232.7185240487, 11906.8554417228, 40.1042580911798, 102.150020897397, 107.625560509213, 60.7683514760824,
 A04, 97-Rep 003, 09.18.2022, 100, 2390, 67176.0960640359, 11593.1761324065, 12060.5605302837, 33.4166221540923, 11184.6707321055, 11708.1072086227, 39.7987432403871, 102.256347516582, 106.768313524707, 60.4580360024394,
 A05, 98-Rep 001, 09.18.2022, 100, 1589, 33884.2276701839, 11425.1315108992, 12895.7879602123, 36.7823658355657, 10759.7589551665, 12467.0768618878, 45.1289681669817, 91.718417627019, 105.069173279941, 182.54936999163,
 A05, 98-Rep 002, 09.18.2022, 100, 1686, 35951.1285774692, 11675.2638252584, 12938.6476302796, 36.6879915739891, 11205.6656945645, 12625.1856753688, 43.9142159210017, 97.9727399521415, 107.443617030732, 218.623442125555,
 A05, 98-Rep 003, 09.18.2022, 100, 1368, 29169.7248042152, 11333.2046382747, 12551.2968868708, 38.1718399927439, 10923.1888749132, 12427.1163690662, 45.428535512361, 92.7147237240823, 103.428581789184, 133.807687713099,
 A06, 98-Rep 001, 09.18.2022, 100, 1773, 37805.1301240391, 11299.6070451752, 12844.3237190265, 39.3293256778156, 11045.1254419704, 12741.9546036213, 46.0415615472972, 87.880342283327, 102.232101402846, 123.165343862301,
 A06, 98-Rep 002, 09.18.2022, 100, 1931, 41169.6629732753, 11328.4930807282, 12590.1221992325, 38.2642762825254, 11124.8558222499, 12706.469170748, 45.436682913361, 91.3033657973445, 104.208772823389, 124.101553466092,
 A06, 98-Rep 003, 09.18.2022, 100, 1379, 29402.739140891, 10573.4411595599, 12276.00251372, 41.7991804789667, 10239.7575102975, 12412.5935187359, 49.2866464810178, 80.9241126609412, 98.4637737983221, 138.216942748449,
 A07, 99-Rep 001, 09.18.2022, 100, 2404, 75633.3951028536, 12023.4220414408, 12983.9162199717, 37.0198484699374, 11637.9183098215, 13098.8244775653, 45.7507374112915, 104.215730361481, 112.84631281913, 111.682321531389,
 A07, 99-Rep 002, 09.18.2022, 100, 2414, 76805.062978177, 11581.1678331884, 12900.4754526066, 38.2630151907934, 11122.1447019279, 12933.2930413626, 46.8556270239518, 96.0679509956502, 109.528208887212, 113.838015734208,
 A07, 99-Rep 003, 09.18.2022, 100, 2412, 79544.8187776821, 11803.6678655001, 12786.0998171667, 35.650577824066, 11400.5480366547, 12738.7512659664, 43.8698106982717, 102.716942513675, 110.792561415834, 112.395324649735,
 A08, 99-Rep 001, 09.18.2022, 100, 2402, 77406.5808358418, 11669.5336711531, 12811.7459522602, 37.1624878431363, 11315.311281335, 13075.5176965974, 45.8749746562312, 99.2597442536315, 111.359965528251, 116.758279077936,
 A08, 99-Rep 002, 09.18.2022, 100, 2389, 76892.5313534971, 11539.1824548, 12807.414122469, 37.840197389461, 11281.021014929, 13167.3750703693, 45.515816811673, 98.8753750119696, 111.526497460399, 105.472206056484,
 A08, 99-Rep 003, 09.18.2022, 100, 2385, 76936.6032528272, 11638.7659471983, 12701.6290364396, 39.1505092240651, 11351.0725634968, 12954.4971240857, 47.6695161053979, 100.445801636705, 109.79960472537, 158.139406548046,
 A09, 103-Rep 001, 09.18.2022, 100, 2346, 96470.8015047705, 10162.9180962692, 10797.2054946799, 34.4213595427873, 9993.9252443347, 10780.5148830625, 39.6023577822353, 94.5717731408446, 98.4144343595731, 218.584219034914,
