Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 E01, 217-Rep 001, 09.18.2022, 100, 4699, 237422.075033304, 11172.2967921448, 13112.4944684531, 40.7803621414883, 9375.54301094158, 10034.215880636, 40.1757830945339, 76.8185682894712, 82.4622604864616, 149.009413643011,
 E01, 217-Rep 002, 09.18.2022, 100, 4572, 142821.823676576, 11270.190311154, 12976.4910739746, 37.8396028982455, 9179.12254093058, 9717.6333879301, 39.5917117189815, 76.6855495407921, 80.6181794003918, 93.6160010504696,
 E02, 217-Rep 001, 09.18.2022, 100, 4677, 195023.689893219, 11085.2705055052, 12915.4556838206, 40.4227721590608, 9332.56118706975, 9807.69913667324, 40.787858404336, 76.4696722034008, 82.3820809547219, 120.1444418495,
 E02, 217-Rep 002, 09.18.2022, 100, 4658, 198440.533201511, 11122.2395471395, 12988.6500071099, 39.3321396487625, 9293.92552721225, 9810.62859058733, 40.1472615565601, 77.1454320097101, 82.1692963649756, 106.07686307884,
 E03, 217-Rep 001, 09.18.2022, 100, 4726, 213335.063067602, 11507.3626187967, 13070.3934764931, 37.870866949644, 9367.09498246769, 9870.55046912946, 39.375493679807, 79.3217162711708, 84.1706433040731, 108.723079604138,
 E03, 217-Rep 002, 09.18.2022, 100, 4740, 219545.930299664, 11248.7870024918, 13136.6027344206, 38.6780874401777, 9153.7440477457, 9716.48114435037, 39.5312837058466, 76.9901906729913, 83.23627627964, 115.418706388085,
 E04, 217-Rep 001, 09.18.2022, 100, 4722, 211389.707086554, 11172.0050523492, 12901.4103224866, 38.3247794958526, 9125.79078005845, 9681.30228728817, 37.6471499459186, 76.6299347704472, 82.372832749118, 149.443207023627,
 E04, 217-Rep 002, 09.18.2022, 100, 4755, 209991.315392342, 11387.2859644709, 13125.3572674122, 37.8763233384776, 9281.12896279625, 9785.29410029948, 38.2391330120619, 79.7507151704549, 84.8244004510908, 148.541544229853,
 E05, 218-Rep 001, 09.18.2022, 100, 4518, 85381.6013130493, 10688.5618353901, 12460.8775909199, 43.921697642487, 8985.67330395794, 9320.41424570711, 45.4831409863487, 70.2068610024719, 75.8291316019671, 96.8365831851087,
 E05, 218-Rep 002, 09.18.2022, 100, 4535, 113225.297563835, 10666.3514931945, 12482.9243215572, 45.3494926847499, 9163.33198088395, 9383.71731321246, 46.4238592512896, 70.5849063986206, 76.6925797196691, 101.671377688717,
