Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A01, 121-Rep 001, 09.18.2022, 100, 4106, 58292.4081604049, 7166.09491531728, 8334.31339646842, 55.0320704834066, 8284.9340075233, 10211.2516558402, 49.2738757842249, 62.5375148175897, 72.2520016345091, 86.6567960152401,
 A01, 121-Rep 002, 09.18.2022, 100, 4456, 82054.6913779138, 7207.54985865772, 8211.73018874669, 55.5633440972898, 8697.81325533581, 10612.0729830178, 51.8131022684878, 62.5825896172824, 72.0669645287425, 97.4943892962542,
 A02, 121-Rep 001, 09.18.2022, 100, 3790, 53774.2553461677, 7122.69556258034, 8332.77621607995, 53.8055685569215, 8336.6116691343, 10155.548317628, 48.805332649203, 62.9703800317327, 72.3352664024718, 89.5091303669774,
 A02, 121-Rep 002, 09.18.2022, 100, 4420, 72559.5987671877, 6753.39750985857, 7502.89522666131, 57.1069540212955, 8108.32342068605, 10111.5553301073, 51.4524402236906, 59.3109978544153, 69.3193569970206, 101.761011825918,
 A03, 121-Rep 001, 09.18.2022, 100, 4487, 66031.9457240991, 7409.71458130273, 8694.06836837427, 53.1368168136779, 8916.82291947311, 10861.4954736032, 48.6693012973449, 64.8839328479142, 75.2833146463202, 85.098354593584,
 A03, 121-Rep 002, 09.18.2022, 100, 4549, 98914.4855211168, 7112.75112719973, 8096.45962628603, 55.6930777741906, 8771.2983758512, 10992.3967686569, 50.8656139808366, 60.8484799247616, 71.881947491508, 107.004320609941,
 A04, 121-Rep 001, 09.18.2022, 100, 4478, 66698.0911501441, 7330.25713063825, 8589.3763058812, 54.2163203112067, 8773.13213263487, 10639.2793570683, 48.9954673871348, 66.4490389462816, 75.3326569275064, 97.3427731449066,
 A04, 121-Rep 002, 09.18.2022, 100, 4508, 98779.1585742888, 7196.99721967339, 8462.51658240867, 55.6497460237722, 9001.16990765723, 11044.3563632521, 50.7231629484771, 65.9562673373303, 76.3996222608974, 106.569178914533,
 A05, 122-Rep 001, 09.18.2022, 100, 2540, 36081.4693392073, 6736.74199763434, 7668.06445554662, 58.0272819754109, 7977.15894593624, 9740.71767049565, 52.3718151066402, 59.368431563089, 70.4942719469771, 130.367787567694,
 A05, 122-Rep 002, 09.18.2022, 100, 3140, 44568.5048984073, 6464.92034071856, 7190.36941684983, 59.4645329709139, 7862.23636593215, 10060.5593524731, 53.7705224536769, 57.2793475111294, 67.2409157299115, 124.08949149194,
