Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 G01, 51-Rep 001, 09.18.2022, 100, 2248, 77147.4695645011, 8425.18173228689, 10482.6617615866, 54.3005838607588, 4782.63307120693, 7532.18430962248, 72.5467881178785, 37.2501480673744, 42.9934786694853, 128.741563720285,
 G01, 51-Rep 002, 09.18.2022, 100, 2277, 78549.1463261565, 8306.61034853528, 10275.9669902297, 55.2594447537962, 4741.80573805541, 7459.525134784, 71.1136020953406, 36.5972585386434, 42.2595574646607, 115.324991342578,
 G02, 51-Rep 001, 09.18.2022, 100, 2266, 81949.1596078089, 8523.04782783246, 10570.9179380668, 62.9538599364903, 5023.74271527853, 7677.05723525648, 91.4747286372654, 40.1654209249532, 47.1349512671965, 136.014947218629,
 G02, 51-Rep 002, 09.18.2022, 100, 2266, 83613.7888522045, 8456.49290969087, 10556.5125820898, 60.5469463349918, 5162.14861725285, 7756.42841945763, 83.5749339658037, 40.9345273840327, 48.587388466733, 132.715783706834,
 G03, 63-Rep 001, 09.18.2022, 100, 2321, 74996.4301842086, 8704.20917074655, 10613.7509477662, 60.3496412131809, 5869.42000079717, 8363.74823783236, 82.7708139491254, 41.3030732688102, 56.7192106046027, 90.8419213707741,
 G03, 63-Rep 002, 09.18.2022, 100, 2324, 75375.3339025553, 8768.82150342347, 10674.9676036619, 59.9122814470249, 6050.13589423017, 8814.21731718527, 81.5986230331781, 42.761993159566, 58.4245162554344, 87.0658754780614,
 G04, 63-Rep 001, 09.18.2022, 100, 2326, 94271.2389352998, 9553.55188439596, 11076.0634048639, 67.9835870240525, 7328.07827806397, 9454.96329597115, 97.774380021092, 48.1588922730942, 63.0408671031061, 101.986704272882,
 G04, 63-Rep 002, 09.18.2022, 100, 2311, 96715.4816444713, 9491.55967813306, 10989.971128847, 72.564352677277, 7198.60157311595, 9537.76569965653, 101.123404619445, 48.0766644927023, 63.9968242708911, 142.270530231495,
 G05, 67-Rep 001, 09.18.2022, 100, 2334, 98480.895364704, 8539.73671576754, 10373.3542314469, 62.950741763389, 5532.82548036125, 8099.37593154947, 90.2287691414708, 37.2187109896891, 50.961869321612, 95.7037163421054,
 G05, 67-Rep 002, 09.18.2022, 100, 2321, 92775.3726519727, 8367.14887339728, 9912.83640488721, 62.7090475473189, 5264.14764675289, 7720.81887643359, 90.6367221594435, 36.3682880563812, 48.587388466733, 93.9877281110822,
 G06, 67-Rep 001, 09.18.2022, 100, 2362, 111488.97404166, 9136.08665246766, 10617.0377306488, 75.1441303479035, 6468.81059206795, 8809.08965922875, 102.747819193994, 42.9543525651736, 58.9240730081572, 99.1130782659325,
 G06, 67-Rep 002, 09.18.2022, 100, 2333, 113103.13668475, 9414.71312870926, 10773.9239380858, 76.1841716836542, 6708.59852269446, 8792.62395922471, 108.988937589776, 44.4741336261536, 58.4121851668329, 103.716426292923,
 H01, EB-T2-2-Rep 001, 09.18.2022, 100, 584, 13849.0840939088, 6774.38994183853, 8099.83836908537, 53.2831821879503, 5347.32443466193, 8578.33996397548, 69.9758161596405, 55.2366700026076, 73.2326262401817, 96.5404550520668,
 H01, EB-T2-2-Rep 002, 09.18.2022, 100, 669, 15866.0475391259, 6697.77950090381, 8111.84429747054, 55.8476907031937, 5392.84248912043, 8279.61221168477, 73.8041323712884, 60.3882817107741, 74.1639149137886, 453.089202040898,
 H02, EB-T2-2-Rep 001, 09.18.2022, 100, 480, 11385.2652807558, 7140.54449522448, 8520.61502146744, 52.5598796419356, 5765.8910634439, 8833.08468877925, 69.8144018137349, 58.6133176387358, 78.286867718977, 110.546220764673,
 H02, EB-T2-2-Rep 002, 09.18.2022, 100, 667, 15816.4147871323, 7132.84418167531, 8663.41394685736, 51.696422714276, 5832.02086603794, 8925.30927225679, 67.7682784460534, 59.7699562610581, 76.442792558475, 110.5947433462,
 H03, EB-T2-3-Rep 001, 09.18.2022, 100, 937, 22209.920942013, 6794.48800523026, 8163.56803170393, 48.6507662875972, 4641.86234966404, 6935.44334366944, 67.4632396496749, 68.7332849155412, 73.4885838057977, 317.066375698587,
 H03, EB-T2-3-Rep 002, 09.18.2022, 100, 1053, 24960.0052264013, 6689.82556254258, 8026.77363721945, 48.8136439875598, 4519.55040772507, 6824.1641243642, 64.459641303326, 68.7562994662237, 74.3612756396227, 355.442880333265,
 H04, EB-T2-3-Rep 001, 09.18.2022, 100, 1594, 37805.2537442096, 7310.63146607486, 8639.59998786839, 46.9356807936208, 5536.82770494494, 7894.67647458367, 62.7318145499553, 87.0303833231264, 84.1922482795291, 317.157108170485,
 H04, EB-T2-3-Rep 002, 09.18.2022, 100, 1793, 42472.3864513431, 6812.36073256297, 8128.05242263286, 51.3612641962675, 5131.31907074591, 7534.63263426118, 67.3247725698694, 83.673457571247, 84.9785834496727, 309.290465544209,
 H05, EB-T2-7-Rep 001, 09.18.2022, 100, 909, 21571.5699530008, 6503.08438382483, 7347.00482163086, 61.9458847839004, 4706.0114342604, 6538.0686479401, 92.1509090805116, 59.3867377867024, 58.7760564875768, 157.1859347593,
 H05, EB-T2-7-Rep 002, 09.18.2022, 100, 969, 22985.3890088695, 6899.9052951988, 7900.78979740622, 56.2831738747265, 5000.87805033036, 6679.66183709499, 88.264722183671, 61.8573973638233, 59.2447843025014, 161.3217375952,
 H06, EB-T2-7-Rep 001, 09.18.2022, 100, 512, 12149.5210283934, 5972.33738570212, 6963.47289701322, 54.6758895932704, 3553.71568624711, 5250.82998673919, 78.9513092936238, 40.2677259104584, 46.0062928697073, 138.108304632213,
 H06, EB-T2-7-Rep 002, 09.18.2022, 100, 534, 12672.6190068889, 6034.24535079143, 7109.26984326271, 52.4211024596477, 3765.41375335435, 5473.19545013793, 78.9119479660836, 42.564263236038, 48.6552263769022, 145.837546239256,
