Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A01, 169-Rep 001, 09.18.2022, 100, 3343, 184219.200389654, 8043.80361717323, 9403.86052197788, 55.9521603035668, 9517.02281774146, 11756.6452262798, 49.4897471292302, 59.8439737192353, 72.4493652759787, 85.0758087866312,
 A01, 169-Rep 002, 09.18.2022, 100, 2984, 140960.711449599, 8042.31208564715, 9948.01005564208, 56.2066716703748, 9469.47502306627, 11775.2349577382, 50.2220126874197, 61.875848305338, 75.4159112740833, 187.51009827747,
 A02, 169-Rep 001, 09.18.2022, 100, 3005, 137857.152976613, 7739.39737142127, 8872.87913484109, 57.2041605207265, 8898.48909189131, 11329.8213160517, 51.4253484647319, 54.6847103413168, 66.1616172411063, 92.8178173905489,
 A02, 169-Rep 002, 09.18.2022, 100, 3204, 156856.175581016, 7909.35040773686, 9380.01929066367, 56.5689385177887, 9155.56148392096, 11623.3538447701, 51.2865280275537, 57.2223851750406, 69.8898510581, 79.6411344625444,
 A03, 169-Rep 001, 09.18.2022, 100, 3522, 197651.415698258, 7948.43657175304, 9270.62904022381, 58.1104567363461, 10008.4378995727, 12116.1722918693, 51.9238519222633, 62.7095364903255, 75.9586654487422, 78.7151493681212,
 A03, 169-Rep 002, 09.18.2022, 100, 3248, 155850.6906905, 7622.68978074202, 8814.41571107045, 56.4117514358408, 9449.51177879659, 11496.4954467392, 51.7220512997934, 60.458637452581, 72.692967039238, 79.6266721242624,
 A04, 169-Rep 001, 09.18.2022, 100, 3360, 201713.322833536, 7717.68493902194, 9098.02117496474, 57.5494040642982, 8915.26484194051, 10965.8163900646, 51.1626238162524, 56.8866304385443, 70.2722335063565, 84.7676681540724,
 A04, 169-Rep 002, 09.18.2022, 100, 3216, 168533.088912017, 7424.72544782952, 8288.11180024064, 57.139468884351, 8554.12125486422, 10564.2347506115, 51.8079471060255, 55.4574644044381, 66.3281418850673, 95.0811223735916,
 A05, 170-Rep 001, 09.18.2022, 100, 3049, 43302.592066446, 6132.35626359312, 6521.86529169043, 59.3308643729035, 8674.89842895856, 10380.6802712411, 50.452486569839, 67.6714320457958, 73.1555370446496, 217.656431947181,
 A05, 170-Rep 002, 09.18.2022, 100, 3172, 45014.2393635696, 6158.15317733957, 6519.7317417089, 59.8327250319515, 8686.79517740466, 10559.4917888706, 50.8856653871797, 67.1392992674218, 73.2943037730785, 219.201415074495,
 A06, 170-Rep 001, 09.18.2022, 100, 1492, 21176.5178642898, 5871.60736333255, 5678.71780990375, 63.7331073952197, 8006.02161114848, 9404.89824626661, 54.2461442753203, 73.205317655255, 74.4846218102344, 235.61488610079,
 A06, 170-Rep 002, 09.18.2022, 100, 1684, 23897.5800562467, 5704.65304764173, 5643.19637893991, 61.6974428352089, 7980.05440449088, 9629.74269815859, 52.0599439490802, 70.878409197166, 73.818526815735, 257.389470914805,
 A07, 170-Rep 001, 09.18.2022, 100, 2446, 34730.3871090001, 6205.04631837069, 6617.54752845349, 59.1261190688335, 8740.76378917284, 10348.0548655493, 53.5551610462689, 74.4654594582904, 77.7595513249588, 259.265815104254,
 A07, 170-Rep 002, 09.18.2022, 100, 2552, 36230.8031869403, 6043.56196535904, 6425.2944952202, 59.786770890319, 8636.67513454025, 10301.5199078762, 53.2038073178282, 73.4257448435146, 75.5947716161107, 295.892549639106,
 A08, 170-Rep 001, 09.18.2022, 100, 2558, 36296.0771429958, 6043.16460819473, 6617.4022142465, 58.672314955295, 8563.35582277211, 10204.8630848742, 49.4457089679039, 72.7322403019283, 75.4559988249707, 165.400972462272,
 A08, 170-Rep 002, 09.18.2022, 100, 2627, 37274.8025816169, 5677.45151148501, 6016.69049838715, 60.1916586187663, 8135.23273153618, 9749.83934121783, 51.6117912341335, 69.5313241776016, 72.9273382589331, 195.754856132095,
 A09, 171-Rep 001, 09.18.2022, 100, 3672, 152891.818255687, 6212.05984178186, 6864.42050480712, 56.629932231757, 9069.61932971672, 10593.3886138736, 44.8763714497726, 70.0595046260341, 81.4477134895678, 102.494142241407,
 A09, 171-Rep 002, 09.18.2022, 100, 3728, 153579.207026961, 6296.50844036013, 7015.2454615175, 55.9408712728876, 9052.84185713568, 10541.4208167856, 45.7318517414027, 69.2353613304848, 79.2027338399112, 80.6249329323074,
 A10, 171-Rep 001, 09.18.2022, 100, 3650, 153908.156570302, 6143.24728939747, 6849.31822861324, 56.5410115875318, 8925.43164479241, 10579.5914942071, 45.2059615346226, 69.3906793833589, 80.0816223239806, 72.5559094837031,
