Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A01, 61-Rep 001, 09.18.2022, 100, 1147, 27208.1256089596, 7741.80298698477, 9864.83536881929, 55.953014507561, 4459.04326988906, 6847.53239861012, 76.5428332713631, 31.7893425576132, 42.9287267614666, 93.8198304937374,
 A01, 61-Rep 002, 09.18.2022, 100, 1335, 31666.3050082087, 7905.34829537905, 9894.44340796445, 55.5035878844598, 4630.10554420979, 6884.77372535382, 77.651875359608, 32.4392359832883, 43.607151555387, 98.9583113543874,
 A02, 61-Rep 001, 09.18.2022, 100, 939, 22279.6088356352, 8300.77964856961, 9923.92238842622, 65.9707787153468, 5696.67460509495, 7864.86721705644, 107.227675585056, 37.4347844056854, 48.4640338672125, 105.659728996194,
 A02, 61-Rep 002, 09.18.2022, 100, 1227, 29104.3362020405, 8195.2911371332, 9875.27672899721, 67.8877860209514, 5554.08938959042, 7933.1867804807, 96.2617650174493, 37.1341249531238, 49.6913683730604, 103.699299779289,
 A03, 61-Rep 001, 09.18.2022, 100, 1071, 25409.93709538, 7990.97072303992, 9587.88007628149, 62.7802335781769, 5752.45887660054, 7949.3215890457, 83.8647745790797, 37.8837297329116, 49.9935722782338, 99.1298634216307,
 A03, 61-Rep 002, 09.18.2022, 100, 1327, 31507.563037192, 8532.38505846863, 10164.5394911214, 65.3575303188018, 6149.91174279116, 8350.24171253757, 89.0821960217817, 42.2617407420409, 55.3284384146811, 96.6794055890699,
 A04, 61-Rep 001, 09.18.2022, 100, 825, 19576.6175153508, 8200.17148134225, 9736.35512843226, 72.7097739509947, 5952.01856515443, 8474.41804932308, 103.353155148206, 38.9961426422047, 51.3935822161002, 106.598598929598,
 A04, 61-Rep 002, 09.18.2022, 100, 1039, 24647.2298783145, 8710.4252236151, 10017.0218422055, 70.7486935680947, 6220.95437116675, 8610.49415314049, 98.2829415731368, 43.1295179938237, 57.4161302429822, 104.575535302329,
 A05, 68-Rep 001, 09.18.2022, 100, 948, 22493.10686527, 8253.18257150355, 9745.89537780833, 82.3447362660071, 5273.031778394, 7471.97239722936, 116.906406496141, 33.8179506821685, 45.2415262471469, 106.527544889912,
 A05, 68-Rep 002, 09.18.2022, 100, 1247, 29575.9209839684, 8720.18381819235, 10314.6486062296, 77.2509063496736, 5581.38654537942, 7643.66658420502, 111.661362697354, 35.4525741897101, 47.6190914532073, 105.886624245801,
