Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A01, 193-Rep 001, 09.18.2022, 100, 4440, 252702.524694009, 7546.02986315296, 8576.99791018365, 54.5868633085795, 7292.76297798689, 8624.20858146813, 56.5275615686047, 63.5174096999944, 66.0536856994124, 196.601173186292,
 A01, 193-Rep 002, 09.18.2022, 100, 4277, 169632.734138478, 7574.09885854286, 8635.1617181331, 50.2177613649223, 7086.2748238266, 8462.66524753691, 50.9829731536569, 63.8443280147097, 67.2686806797033, 152.600600826331,
 A02, 193-Rep 001, 09.18.2022, 100, 4505, 299479.354901836, 7644.97825312957, 8595.49906042491, 59.0824713675968, 7465.40652635789, 8751.46451475894, 62.3791313095434, 67.7236897397983, 68.8475482739651, 212.379802074086,
 A02, 193-Rep 002, 09.18.2022, 100, 4433, 253533.925119773, 7376.2457579001, 8440.08419246165, 51.1986524199663, 7148.85352972132, 8512.28354420134, 50.8580031719902, 63.8444062946526, 65.2488244901, 178.743007006667,
 A03, 193-Rep 001, 09.18.2022, 100, 4454, 299397.860544056, 7513.55140901437, 8608.86349910799, 54.8371629170917, 7337.73105885613, 8732.85298318635, 55.9452667144245, 65.7120572756919, 66.8431320487648, 198.920983628056,
 A03, 193-Rep 002, 09.18.2022, 100, 4400, 228842.222193592, 7048.1878028098, 7873.49860953163, 52.0734841716822, 6809.30024957033, 8162.29982951003, 51.1492874991262, 62.960980888881, 64.1571958436066, 168.457162221633,
 A04, 193-Rep 001, 09.18.2022, 100, 4515, 327365.505615896, 7470.01052236097, 8515.72361531895, 52.0721344194497, 7289.1598693838, 8584.10611981618, 52.9090939823848, 66.8561658008894, 67.2224244315209, 210.455357298397,
 A04, 193-Rep 002, 09.18.2022, 100, 4359, 255430.757748892, 7220.8361637399, 8182.00382646887, 52.3924645615696, 7056.03805772486, 8385.35165566206, 52.2508729796314, 64.2737052157528, 67.3858478400809, 183.889589593064,
 A05, 194-Rep 001, 09.18.2022, 100, 4429, 100935.596877439, 6666.63257251573, 7432.44830053294, 53.509938075472, 7255.45622468376, 8637.30470040355, 51.7469208431713, 58.8758486833759, 63.7563007179833, 92.5012523161557,
 A05, 194-Rep 002, 09.18.2022, 100, 4450, 119469.545582054, 6679.36054961172, 7440.44991133654, 52.7043256600981, 7360.34273277166, 8760.49177582784, 49.550639235096, 58.8186864009664, 64.0307540933594, 123.10439102107,
 A06, 194-Rep 001, 09.18.2022, 100, 4445, 110589.668521741, 6798.04983118707, 7716.06890350642, 52.6217766299864, 7477.36479178665, 8837.54220823844, 48.9612373847836, 58.6001777506954, 63.232054801084, 266.292559697625,
 A06, 194-Rep 002, 09.18.2022, 100, 4492, 131419.033048721, 6747.05840916701, 7551.43253036598, 52.0949136805331, 7471.02975277582, 8858.81303410927, 49.7931797409771, 59.7453740213472, 64.2990286898409, 178.778884541104,
 A07, 194-Rep 001, 09.18.2022, 100, 4450, 102597.581762548, 6755.89702319996, 7733.73610928211, 52.8976736414434, 7443.64100087582, 8863.95990314152, 49.6485467834552, 60.9352518367549, 65.8069851342994, 93.8874474557918,
 A07, 194-Rep 002, 09.18.2022, 100, 4443, 116097.236622935, 6770.11760097266, 7805.86019591298, 51.5923562818556, 7513.27215599459, 8831.81914383699, 48.6184083721606, 61.4437698141324, 65.6836380273201, 89.2157216488075,
 A08, 194-Rep 001, 09.18.2022, 100, 4389, 78096.7915598861, 6568.13503905863, 7512.27577600434, 52.4528515917274, 7260.38459578062, 8511.84896020651, 50.1938769553267, 60.2231721153248, 64.9712901683393, 82.5566889420103,
 A08, 194-Rep 002, 09.18.2022, 100, 4464, 107813.002334153, 6499.61572428034, 7146.71046425287, 52.3623160019825, 7213.92430405824, 8447.44992419657, 49.0191027569573, 58.1864797832043, 63.1025516213885, 85.6714735397051,
 A09, 195-Rep 001, 09.18.2022, 100, 3215, 45664.6059338164, 7054.0579753516, 8086.06550270184, 55.1940477262513, 9207.68604337256, 10701.0897184361, 57.7123542428732, 64.8126200485595, 69.9916196370198, 91.1372689111099,
 A09, 195-Rep 002, 09.18.2022, 100, 3616, 51351.625832608, 6886.33602786068, 7818.71796493542, 53.9680324447704, 9101.89962531642, 10672.0378389021, 52.4547541476247, 63.5023002957946, 69.6277335959749, 97.5531159170137,
 A10, 195-Rep 001, 09.18.2022, 100, 3183, 45208.3803972331, 6866.65769067208, 7731.48623721783, 53.90421709332, 9062.5341652591, 10496.2748501649, 52.8682307901744, 64.3647674853267, 70.4634348896091, 91.1079467400291,
 A10, 195-Rep 002, 09.18.2022, 100, 3381, 48016.8967897498, 6718.14715187104, 7423.05740284622, 54.880740904253, 8959.89770482359, 10555.4231210806, 51.0665580083802, 62.7031392649144, 68.8722144919789, 91.1166907647753,
 A11, 195-Rep 001, 09.18.2022, 100, 3398, 48233.7358366136, 7325.08638231059, 8368.06538298219, 51.7660936597939, 8842.59093463311, 10344.397034807, 49.8303407584265, 63.4831319135531, 69.8806049660558, 106.455528174868,
 A11, 195-Rep 002, 09.18.2022, 100, 3565, 50643.9064323465, 6985.68569905172, 7764.04140789093, 53.6942881110239, 8514.03207223046, 10234.1263305346, 51.2441868015664, 60.6780598194583, 66.6149279907588, 108.385952440279,
 A12, 195-Rep 001, 09.18.2022, 100, 2415, 34314.730557009, 6993.45161799845, 7777.06083977784, 54.4505416769948, 8411.57844324224, 9871.49337241362, 52.2328977073992, 66.0581542926676, 70.1735624915719, 97.4619178175348,
 A12, 195-Rep 002, 09.18.2022, 100, 2741, 38909.5131571281, 6650.08052531797, 7215.23332107874, 55.4757980864073, 8212.5565496428, 9863.41658677085, 52.1008318971436, 59.1314226103204, 64.6289986793337, 94.7633075940984,
 B01, 199-Rep 001, 09.18.2022, 100, 2968, 42063.4438303415, 6405.07600689359, 6646.6271674118, 55.3552527097406, 7759.03552226359, 8847.46935410329, 53.1598301087387, 70.2392423198488, 69.1898442008756, 130.207223425131,
 B01, 199-Rep 002, 09.18.2022, 100, 3689, 52317.8768486591, 6291.29790577507, 6358.90587684761, 55.8947904974656, 7715.44746527362, 8711.04289462075, 51.8651855859399, 68.5967483636932, 71.2651982580124, 108.019300293676,
 B02, 199-Rep 001, 09.18.2022, 100, 4236, 60039.0077273481, 6346.39947219818, 6510.78274004692, 55.6688381134886, 7728.70684504637, 8823.88574113818, 51.0147527577379, 67.60559910758, 68.4065848264448, 128.979655366832,
 B02, 199-Rep 002, 09.18.2022, 100, 4362, 75629.0505217765, 6228.94098119552, 6413.67181255821, 56.020654683915, 7743.58823537212, 8906.36225494977, 52.5442399819459, 67.6988180083635, 69.8713600972252, 119.490979873817,
 B03, 199-Rep 001, 09.18.2022, 100, 4263, 60461.7969278402, 6285.79362734703, 6502.29934853637, 55.9394715548158, 7714.62866337971, 8901.00996378337, 51.8644428948076, 70.0368030928912, 70.3400863415022, 115.997275121584,
