Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A01, 145-Rep 001, 09.18.2022, 100, 4194, 71241.5912500079, 11096.5720408053, 13173.5642174349, 43.7388580261161, 10096.4845013744, 10772.0787226009, 46.8195219866773, 63.3301131485594, 71.9374520380231, 74.7529461341221,
 A01, 145-Rep 002, 09.18.2022, 100, 4405, 102197.957546582, 11294.469075712, 13258.4656277812, 43.4344436007606, 10355.7145965475, 10944.7786235069, 44.256826220558, 66.1091406810092, 73.8092877336537, 76.2473837254108,
 A02, 145-Rep 001, 09.18.2022, 100, 4268, 80612.7528762055, 11040.578879887, 13025.4955334901, 44.4701223939707, 10099.4660650219, 10676.6437906972, 47.2269096700351, 65.0637809898289, 72.9612562820113, 75.4737338545104,
 A02, 145-Rep 002, 09.18.2022, 100, 4437, 115710.648807305, 11140.6210204349, 13219.0160842117, 43.1414448262576, 10456.2137629457, 11021.1106047875, 42.8820943438297, 64.6635327440733, 74.0282361699283, 75.9395053968848,
 A03, 145-Rep 001, 09.18.2022, 100, 4285, 69293.5008087474, 10653.2149055744, 12743.4376439842, 44.8704022668431, 10082.2267606279, 10744.6979188238, 45.0681223545392, 65.0248824326348, 71.7092538989677, 72.6775684424994,
 A03, 145-Rep 002, 09.18.2022, 100, 4418, 102795.461278178, 10755.900559623, 12797.9398374739, 44.0686506914809, 10380.4834125098, 10962.9271690028, 46.2423815976104, 65.1163589199816, 73.713682567014, 77.6628135286775,
 A04, 145-Rep 001, 09.18.2022, 100, 4335, 68891.8367567967, 10787.7111481643, 12766.9935303817, 43.2152458949298, 10162.1692015137, 10724.9910471749, 44.6831664772677, 66.6050715265768, 73.4731539628715, 75.3708824195666,
 A04, 145-Rep 002, 09.18.2022, 100, 4455, 109453.437298219, 10656.8748432078, 12684.3061598111, 43.7286141032686, 10320.7670618803, 10818.1496443746, 43.1568135179106, 64.3269156982233, 73.4638976122094, 72.0370674231978,
 A05, 146-Rep 001, 09.18.2022, 100, 4040, 57313.0469220103, 10820.3202601167, 13144.0906329286, 47.2177861090508, 10330.7688510378, 10990.7675485625, 45.6441215587383, 66.3845693466564, 70.2321431309685, 107.54418357961,
 A05, 146-Rep 002, 09.18.2022, 100, 4466, 79231.5054066075, 10844.7886237216, 13254.2883580487, 47.2136514727747, 10439.2144032809, 11341.4210219399, 44.6485971262339, 66.1750750119481, 70.697797602155, 100.237904395942,
 A06, 146-Rep 001, 09.18.2022, 100, 4470, 71003.2473038618, 10809.1807189534, 13045.4183708801, 45.1946476485714, 10362.4140477908, 11093.7109770895, 43.2067634730744, 66.4956962910344, 69.544473841532, 106.168058088538,
 A06, 146-Rep 002, 09.18.2022, 100, 4570, 111772.236450822, 10863.3411042848, 13095.1432129697, 44.9834841388268, 10663.9884996509, 11265.0967062492, 41.5180839624627, 66.460327108514, 70.7656340110179, 101.077467413668,
 A07, 146-Rep 001, 09.18.2022, 100, 4340, 75223.5676102458, 10320.4299454139, 12600.7015633123, 48.8440818361959, 10500.1903486003, 11348.3840531738, 46.1061776874521, 68.2018324038324, 72.042301060572, 166.132381886904,
 A07, 146-Rep 002, 09.18.2022, 100, 4556, 119770.941172637, 10297.266400166, 12462.9163044388, 49.1660193278182, 10879.6662167371, 11532.7036750269, 44.5815055011089, 68.2790024873511, 73.0599364005001, 106.885999286923,
